,plateifu,mangaid,objra,objdec,T,type,TType-cat,VI_morph,WHAN_Class
197,7957-9101,1-177296,256.9444874,35.13413639,3.897,Sab,Huertas,Spiral,PSF
198,7958-3702,1-177284,256.9926059,34.81853932,2.11,Sab,Huertas,Spiral,SFBQB
199,7958-3703,1-177250,256.6640463,34.54300223,-1.042,S0,Huertas,Spiral,QB
200,7958-6101,1-547086,257.3836889,34.42703188,2.152,Sab,Huertas,Spiral,SFBQB
201,7962-12701,1-177822,258.6594221,28.12076298,4.1,Scd,Huertas,Spiral,PSF
202,7962-12702,1-178265,259.1944193,26.48130087,4.848,Scd,Huertas,Spiral,PSF
203,7962-12703,1-178586,261.2173022,28.07829691,2.507,Sab,Huertas,Spiral,SFBQB
204,7968-12703,1-180629,324.0919997,0.947726891,3.853,Sab,Huertas,Spiral,QB
205,7968-12704,1-180621,324.2598808,0.428240426,0.166,S0,Huertas,Spiral,SFBQB
206,7968-1902,1-180540,323.0338738,0.609774318,3.313,Sab,Huertas,Spiral,SFBQB
207,7968-6102,1-180537,323.1786261,0.771349187,2.401,Sab,Huertas,Spiral,QB
208,7977-12703,1-115162,333.2018423,13.33412093,5.198,Scd,Huertas,Spiral,QB
209,7977-12705,1-596678,332.89284,11.795929,1.889890909,Sab,SDSS-DeepLearning,Spiral,SFBQB
210,7977-9102,1-114980,332.8306643,12.18471758,4.575,Scd,Huertas,Spiral,SFBQB
211,7990-12701,1-24414,263.1501475,56.84525649,4.632,Scd,Huertas,Spiral,PSF
212,7990-12704,1-25554,262.4860383,58.39740725,1.86,Sab,Huertas,Spiral,QB
213,7990-6103,1-25688,261.2848449,58.76468742,4.55,Scd,Huertas,Spiral,QB
214,7991-3703,1-24124,258.5302615,57.47743353,3.445,Sab,Huertas,Spiral,LSN
215,7991-6102,1-24354,261.08183,56.87628,3.434,Sab,Huertas,Spiral,LSN
216,7992-1902,1-23023,257.247919,62.89801908,3.578,Sab,Huertas,Spiral,QB
217,7992-6101,1-22301,253.4055591,63.03126992,3.551,Sab,Huertas,Spiral,SFBQB
218,7992-6104,1-22662,255.2794883,64.67687817,2.336,Sab,Huertas,Spiral,SFB
219,8077-12705,1-109081,41.69464,-0.72882685,3.8163414,Sab,SDSS-DeepLearning,Spiral,SFBQB
220,8078-12703,1-37211,42.57026673,0.091990149,3.207,Sab,Huertas,Spiral,QB
221,8078-12705,1-36897,42.27915,-0.90221,3.972,Sab,Huertas,Spiral,PSF
