plateifu,mangaid,objra,objdec,VI_morph,DR
8084-9102,1-38272,51.87840006,-1.127783045,Spiral,16
8085-12701,1-38368,51.40994103,-1.030120917,Spiral,16
8085-3704,1-38348,51.15551834,-0.444017558,Spiral,16
8085-6104,1-38470,51.70891381,0.198588834,Spiral,16
8086-9102,1-229060,57.24838236,0.925977123,Spiral,16
8132-12703,1-338629,113.2668755,42.47246161,Spiral,16
8132-12705,1-548025,111.93686,42.101512,Spiral,16
8132-6101,1-548024,111.73368,41.026691,Spiral,16
8133-12705,1-377841,113.747218,43.47251906,Spiral,16
8134-12701,1-377978,112.6986802,46.01011573,Spiral,16
8134-12704,1-548076,114.73363,47.473781,Spiral,16
8134-9102,1-339163,116.280207,46.07242123,Spiral,16
8135-12701,1-604761,113.4722748,37.02590458,Spiral,16
8135-6103,1-338220,113.057013,39.56007376,Spiral,16
8137-9102,1-43724,117.0386258,43.59070019,Spiral,16
8138-12701,1-338829,115.6334404,44.23381894,Spiral,16
8138-3702,1-339028,116.097926,44.52774148,Spiral,16
8138-6104,1-339258,117.2914197,46.46188305,Spiral,16
8138-9102,1-44219,118.3285438,45.46202603,Spiral,16
8139-12705,1-604821,116.43123,32.10292,Spiral,16
8139-6103,1-71167,114.190162,33.12275273,Spiral,16
8140-12701,1-43654,116.9303223,41.38637936,Spiral,16
8140-12703,1-43783,117.8984691,42.88011507,Spiral,16
8140-12704,1-43651,117.9237673,42.30357352,Spiral,16
8141-12701,1-338771,116.7326422,44.2656993,Spiral,16
8144-6104,1-152524,115.0483891,28.39464054,Spiral,16
8145-1901,1-201356,116.9935961,28.32480619,Spiral,16
8145-3702,1-201314,116.3795338,28.4410097,Spiral,16
8145-3704,1-556498,117.57035,27.856993,Spiral,16
8145-9101,1-201173,117.1086,27.2980447,Spiral,16
8147-6102,1-163831,118.6278435,25.81598648,Spiral,16
8149-12702,1-164109,119.609269,27.16154759,Spiral,16
8154-12705,1-37547,45.59815923,0.979293944,Spiral,16
8154-6102,1-37167,44.16958925,-0.245663318,Spiral,16
8154-9102,1-603941,45.96024802,-0.204456525,Spiral,16
8155-12704,1-38713,53.17033611,0.245738937,Spiral,16
8155-3701,1-38612,52.77892683,-0.915973761,Spiral,16
8239-6101,1-378327,115.3040684,47.67147842,Spiral,16
8241-12705,1-605282,127.6320083,18.2061099,Spiral,16
8241-6102,1-460288,126.0596334,17.33195052,Spiral,16
8241-9101,1-460840,126.8980192,17.91850881,Spiral,16
8243-12705,1-47765,131.614974,53.04563999,Spiral,16
8244-3702,1-47608,131.8150073,51.24580591,Spiral,16
8247-3701,1-585433,136.67142,41.365107,Spiral,16
8249-12703,1-137908,139.559191,45.6516889,Spiral,16
8249-6101,1-155463,137.5624565,46.29326966,Spiral,16
8250-12703,1-137912,139.6477435,44.59673701,Spiral,16
8250-6101,1-217221,138.75315,42.02438975,Spiral,16
8250-6102,1-217210,138.9026162,42.15722314,Spiral,16
8252-12704,1-185287,145.9438357,48.29071346,Spiral,16
8252-3702,1-156011,144.059863,48.74569769,Spiral,16
8253-6104,1-255248,158.2514248,42.92842262,Spiral,16
8254-12703,1-276761,162.0512761,45.59528997,Spiral,16
8257-12701,1-277290,165.4958184,45.22802434,Spiral,16
8257-3703,1-278062,166.6557003,46.03877757,Spiral,16
8257-6103,1-277453,164.6420958,45.81253498,Spiral,16
8258-12703,1-256574,168.1188267,44.15864995,Spiral,16
8258-12705,1-256002,167.1543766,43.00423735,Spiral,16
8258-9102,1-256301,167.2555625,44.41189145,Spiral,16
8259-12704,1-257957,180.1605688,44.40664558,Spiral,16
8259-6103,1-281037,178.8421258,43.76109403,Spiral,16
8309-9102,1-245472,211.9485642,53.37043704,Spiral,16
8311-6104,1-568584,205.28273,23.282055,Spiral,16
8312-12702,1-210923,245.2708705,39.9173908,Spiral,16
8312-12704,1-633990,247.3041252,41.15087236,Spiral,16
8312-12705,1-211023,247.1553761,39.69890557,Spiral,16
8312-3704,1-210754,247.1634847,39.51854615,Spiral,16
8313-9101,1-247980,239.6975459,41.93809747,Spiral,16
8313-9102,1-248357,239.9879455,41.47777513,Spiral,16
8315-12703,1-322802,236.2674028,39.85983111,Spiral,16
8317-12704,1-259142,193.7039898,44.15556572,Spiral,16
8317-9101,1-259175,192.4217563,44.29935845,Spiral,16
8318-12703,1-284485,196.2324195,47.50364367,Spiral,16
8318-12704,1-284317,197.1144831,46.56960142,Spiral,16
8318-6104,1-284525,198.3192696,47.08756163,Spiral,16
8320-6101,1-523004,206.6275291,22.70601919,Spiral,16
8322-12704,1-625154,199.0513713,30.95029902,Spiral,16
8322-1901,1-625070,198.7842455,30.40377497,Spiral,16
8322-6102,1-401757,200.2940658,30.33463956,Spiral,16
8322-9101,1-591611,199.60756,31.46795,Spiral,16
8323-12703,1-591308,195.41605,36.2901,Spiral,16
8323-12705,1-624367,196.7939145,34.29800747,Spiral,16
8323-6101,1-415476,196.9784007,34.08709955,Spiral,16
8325-9101,1-235186,210.842699,48.25308539,Spiral,16
8325-9102,1-235306,211.4226539,46.4274417,Spiral,16
8326-3704,1-235582,214.8502453,45.90079203,Spiral,16
8326-6102,1-235576,215.01791,47.12133,Spiral,16
8326-9102,1-235611,215.940813,45.93118544,Spiral,16
8329-6104,1-592743,213.110482,45.69041012,Spiral,16
8330-12703,1-285737,203.374602,40.52967029,Spiral,16
8330-9101,1-285728,203.958723,40.27168728,Spiral,16
8331-12702,1-285916,204.9910827,41.33807148,Spiral,16
8331-12704,1-250997,205.2510318,42.43141163,Spiral,16
8331-12705,1-260534,206.3344325,41.38893083,Spiral,16
8332-12701,1-250959,206.7098914,42.65128833,Spiral,16
8332-12702,1-251115,207.9288072,43.16660296,Spiral,16
8333-6102,1-251871,214.5067662,41.82764272,Spiral,16
8335-12705,1-251686,216.75986,39.95721,Spiral,16
8335-6102,1-252094,216.9047923,40.4073058,Spiral,16
8338-12701,1-614850,172.0511907,21.99684278,Spiral,16
8341-12704,1-620993,189.21325,45.65117,Spiral,16
8439-12702,1-155926,141.5393071,49.31020162,Spiral,16
8439-3701,1-605863,141.46005,49.329855,Spiral,16
8439-6102,1-155975,142.7781675,49.07974566,Spiral,16
8440-12701,1-216540,135.0651103,40.29673791,Spiral,16
8440-3703,1-216958,136.2002796,40.5917215,Spiral,16
8440-6102,1-216980,135.7200538,40.34668436,Spiral,16
8442-12703,1-625180,199.17463,31.36757,Spiral,16
8442-9102,1-625513,200.2228371,32.19076075,Spiral,16
8443-6102,1-422969,207.0615655,24.77771961,Spiral,16
8443-6103,1-627397,206.7690385,24.99648302,Spiral,16
8443-9101,1-592031,206.0169835,25.66351329,Spiral,16
8444-12703,1-422040,201.4111053,33.68043282,Spiral,16
8445-12701,1-591917,203.95819,34.998949,Spiral,16
8445-12703,1-409272,207.1261487,35.27274808,Spiral,16
8446-6104,1-410704,206.5414146,36.50438552,Spiral,16
8447-12701,1-260733,208.054735,39.50147645,Spiral,16
8448-12703,1-487432,166.808725,23.01924443,Spiral,16
8448-12705,1-487293,166.75565,22.29621,Spiral,16
8449-12701,1-488469,167.3805909,22.42800503,Spiral,16
8449-12702,1-488790,168.3751026,23.17700621,Spiral,16
8450-12705,1-489642,171.5780599,21.09623577,Spiral,16
8450-9102,1-491058,172.4285875,21.26002973,Spiral,16
8452-12703,1-148068,156.805685,48.24479143,Spiral,16
8452-12704,1-172986,157.3570804,47.23342998,Spiral,16
8452-3704,1-173030,157.5389942,47.27840298,Spiral,16
8453-12701,1-147514,151.3099499,46.65088903,Spiral,16
8454-12702,1-167242,153.0490211,45.14215792,Spiral,16
8454-6104,1-167488,154.8254403,45.81359448,Spiral,16
8456-12701,1-167167,151.1912857,44.70578001,Spiral,16
8456-12703,1-147485,151.8291046,46.54643749,Spiral,16
8456-12704,1-167337,150.8428784,45.76353607,Spiral,16
8456-6101,1-167166,151.2209144,44.63612263,Spiral,16
8459-3703,1-166947,147.335,43.44299,Spiral,16
8461-9102,1-166703,146.2067786,42.29380429,Spiral,16
8462-12702,1-232333,145.202128,36.45554033,Spiral,16
8462-12705,1-606005,145.597388,36.3497095,Spiral,16
8462-1902,1-301579,146.29654,36.53427,Spiral,16
8464-12701,1-258820,186.446891,45.9095701,Spiral,16
8464-12704,1-282712,187.9368934,46.13158849,Spiral,16
8465-12701,1-284428,195.9731683,47.38644446,Spiral,16
8465-12705,1-285004,198.2363151,47.45662801,Spiral,16
8466-9101,1-256860,170.2148472,44.59741198,Spiral,16
8481-12701,1-90807,236.7612726,54.34090102,Spiral,16
8481-1902,1-91339,237.6538589,53.39062197,Spiral,16
8482-12703,1-93640,245.5031111,49.52078993,Spiral,16
8482-12705,1-542392,244.2167168,50.28219598,Spiral,16
8482-1902,1-92547,243.1025647,48.52988604,Spiral,16
8482-9101,1-92626,241.7995511,48.57256251,Spiral,16
8482-9102,1-92744,242.9558797,49.22871276,Spiral,16
8483-12705,1-93466,247.7420749,48.28031115,Spiral,16
8484-12703,1-574355,248.78826,46.213895,Spiral,16
8485-12704,1-209287,233.6852177,48.73152156,Spiral,16
8486-6101,1-209428,238.0395529,46.31978973,Spiral,16
8547-12701,1-593159,217.6299707,52.70715903,Spiral,16
8547-6102,1-245670,217.3248602,52.66555988,Spiral,16
8547-9102,1-630590,218.9763433,53.39163684,Spiral,16
8548-6102,1-93236,245.522375,46.62420849,Spiral,16
8548-6104,1-93231,245.7473922,46.67532424,Spiral,16
8549-12702,1-210017,241.271447,45.44299217,Spiral,16
8549-3703,1-134239,241.4164424,46.84656069,Spiral,16
8549-6103,1-134293,240.4187408,46.08529175,Spiral,16
8550-12703,1-135054,247.6744302,40.52938938,Spiral,16
8550-12704,1-211063,247.058406,40.31383667,Spiral,16
8552-3702,1-321979,226.135574,43.8776585,Spiral,16
8552-9101,1-322020,226.9119302,44.55625925,Spiral,16
8554-12702,1-419536,182.721538,36.54577769,Spiral,16
8554-12705,1-401919,184.9326102,35.50702159,Spiral,16
8554-9101,1-419450,182.2828158,37.11086805,Spiral,16
8555-12702,1-633832,243.9687671,44.16131928,Spiral,16
8566-12703,1-43361,116.4660735,41.07568647,Spiral,16
8567-12703,1-378715,118.3286949,50.18553928,Spiral,16
8567-6101,1-351538,119.1451236,47.56385133,Spiral,16
8567-9101,1-351506,119.2844834,47.76563742,Spiral,16
8588-12702,1-634138,250.31305,39.29009,Spiral,16
8588-12705,1-135383,250.3128731,39.7523514,Spiral,16
8588-3701,1-210700,248.1405614,39.13102068,Spiral,16
8591-12701,1-245082,212.271994,53.79535532,Spiral,16
8591-12705,1-245404,213.933247,54.04313498,Spiral,16
8592-6102,1-246470,223.3207946,52.04426247,Spiral,16
8595-12702,1-245980,219.6986859,51.02236282,Spiral,16
8595-12705,1-246331,221.7865185,50.19570732,Spiral,16
8595-3702,1-197702,219.0427607,50.51882204,Spiral,16
8595-6102,1-197704,219.593188,50.69630723,Spiral,16
8597-12702,1-198153,224.2890789,48.63396851,Spiral,16
8597-12703,1-246549,225.388974,49.11242912,Spiral,16
8597-12704,1-246525,225.6056996,48.87768742,Spiral,16
8600-12701,1-210667,245.7265122,41.52057675,Spiral,16
8600-12704,1-210631,244.8829237,41.66246267,Spiral,16
8600-3703,1-135202,245.8658724,41.70638337,Spiral,16
8600-6103,1-210593,244.4197543,41.89915449,Spiral,16
8601-12705,1-135810,250.123144,39.23511449,Spiral,16
8602-12701,1-569169,247.04817,39.821898,Spiral,16
8602-12705,1-211074,247.4626868,39.76651093,Spiral,16
8602-3701,1-211264,247.3615427,38.41940265,Spiral,16
8603-12702,1-211227,246.869311,38.86910835,Spiral,16
8604-12703,1-135502,247.7641748,39.83850387,Spiral,16
8606-12701,1-95585,255.0298698,37.83950214,Spiral,16
8606-12705,1-176546,255.5174418,35.46315599,Spiral,16
8612-12702,1-96075,253.9463815,39.31053643,Spiral,16
8612-6104,1-95843,255.006946,38.81600935,Spiral,16
8613-12702,1-136125,254.0441402,34.83651981,Spiral,16
8615-12701,1-179900,319.3895751,-0.134736114,Spiral,16
8615-3701,1-550901,321.00791,-0.36632361,Spiral,16
8615-6104,1-179947,319.9018679,0.704249719,Spiral,16
8615-9102,1-180039,321.4740419,0.416058768,Spiral,16
8616-12702,1-289846,322.30605,-0.29476536,Spiral,16
8616-3704,1-180193,322.2420236,-0.342425989,Spiral,16
8616-6104,1-180334,322.9805307,0.213766757,Spiral,16
8623-6104,1-190574,311.7809712,0.300460704,Spiral,16
8623-9101,1-178698,311.3473642,0.49252863,Spiral,16
8624-9102,1-25740,263.8925814,59.88992275,Spiral,16
8625-12703,1-24161,259.682229,58.13511676,Spiral,16
8625-12705,1-24375,261.706139,56.81078188,Spiral,16
8626-12702,1-634795,263.2053621,56.90127005,Spiral,16
8626-12703,1-24482,265.1087751,56.70125092,Spiral,16
8626-1902,1-24246,264.84079,56.56707,Spiral,16
8626-3703,1-24440,264.6625448,56.82424365,Spiral,16
8655-3701,1-29512,356.751828,-0.447387404,Spiral,16
8712-12704,1-379708,121.0548304,55.39766526,Spiral,16
8712-6102,1-567961,119.84641,53.635414,Spiral,16
8713-6102,1-43589,117.6026928,38.4691486,Spiral,16
8713-9102,1-71974,118.85539,39.186094,Spiral,16
